City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Milas,TR,79.95,clear sky,37.3164,27.7839,Milashan Hotel
395,Noumea,NC,73.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
396,Los Llanos De Aridane,ES,71.35,few clouds,28.6585,-17.9182,Valle Aridane
397,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,Le four à pain
401,Chippewa Falls,US,68.77,overcast clouds,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
403,Alyangula,AU,68.11,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
404,Los Alamos,US,79.93,clear sky,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
408,Sampit,ID,74.37,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
415,Shizunai,JP,66.31,broken clouds,42.3339,142.3669,Shizunai Eclipse Hotel
416,Honolulu,US,78.31,clear sky,21.3069,-157.8583,Aston at the Executive Centre Hotel
417,Erzin,TR,77.07,scattered clouds,36.9559,36.2,Artemis Otel
419,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
420,Homa Bay,KE,70.02,broken clouds,-0.5273,34.4571,ACK Guest House - Homa Bay
421,Rajula,IN,78.4,broken clouds,21.05,71.4333,Lion Lords Inn Rajula
422,Bom Jardim,BR,78.26,scattered clouds,-7.7958,-35.5872,Wilton Joaquim 8 Wilton
424,Impfondo,CG,79.48,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
425,Siocon,PH,77.95,overcast clouds,7.7061,122.1353,ABS Hotel
426,Kieta,PG,77.41,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
430,Beloha,MG,69.33,clear sky,-25.1667,45.05,
432,Biak,ID,75.74,overcast clouds,-0.9131,122.8766,Penginapan Kim
439,Bodri,IN,74.35,light rain,23.1667,81.4333,Shivam Ràjpút
441,Kalulushi,ZM,70.32,clear sky,-12.8378,28.0919,Nobutula Lodge
445,Le Mans,FR,75.13,broken clouds,48.0,0.2,ibis Styles Le Mans Centre Gare
449,Karaton,ID,74.64,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
451,Cherepovets,RU,71.42,few clouds,59.1333,37.9,"Hotel ""Visit"""
463,Khlevnoye,RU,75.22,broken clouds,52.1951,39.0932,Hotel Three
470,Hobyo,SO,76.84,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
479,Iroquois Falls,CA,74.7,overcast clouds,48.7669,-80.6831,Auberge MacDonald Guest Inn
480,Mendoza,AR,68.36,clear sky,-32.8908,-68.8272,Hotel Mendoza
481,Correia Pinto,BR,67.35,overcast clouds,-27.5847,-50.3611,Hotel Paraíso
482,Santo Tomas,PH,79.05,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
486,Salacgriva,LV,75.0,broken clouds,57.7536,24.3581,Kapteiņu Osta
487,Mikhaylovka,RU,79.79,overcast clouds,50.06,43.2379,5 Komnat
489,Buta,CD,73.06,overcast clouds,2.7858,24.73,Hôtel BOPANDO
494,Axim,GH,76.73,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
495,Rio Grande,BR,73.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
498,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
500,Hovd,MN,66.67,clear sky,48.0056,91.6419,Hotel Khovd
502,Channel-Port Aux Basques,CA,67.08,overcast clouds,47.5702,-59.1367,St. Christopher's Hotel
505,Alaca,TR,76.69,broken clouds,40.1683,34.8425,يلدز محلا
506,Effium,NG,73.4,light rain,6.6292,8.0593,
507,Roald,NO,70.9,clear sky,62.5833,6.1333,Flem Cabins
510,Dinguiraye,GN,71.1,overcast clouds,11.3,-10.7167,
511,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
512,Novikovo,RU,77.07,overcast clouds,51.1537,37.8879,
516,Kenitra,MA,75.96,clear sky,34.261,-6.5802,Bienvenue chez vous
517,Naron,ES,74.91,scattered clouds,43.5167,-8.1528,Marcial
518,Pipri,IN,75.04,heavy intensity rain,19.8,75.5333,Sukhana River nilu and rushi home
521,Hay River,CA,72.61,clear sky,60.8156,-115.7999,Ptarmigan Inn
528,Kamina,CD,75.79,few clouds,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
529,Villarrica,PY,78.33,scattered clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
530,Tias,ES,78.48,few clouds,28.9611,-13.645,Hotel Beatriz Playa & SPA
531,San Pedro,PH,79.83,light rain,14.35,121.0167,Palines Apartment and Guesthouse
536,Tijucas,BR,75.25,overcast clouds,-27.2414,-48.6336,Hotel do Valle
537,Soyo,AO,71.53,few clouds,-6.1349,12.3689,Hospedaria ndozi'ame
540,Roma,US,78.73,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
541,Fort Nelson,CA,66.33,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
544,Matucana,PE,69.44,clear sky,-11.85,-76.4,Hostal La Fontana
546,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
549,Marawi,PH,68.63,overcast clouds,7.9986,124.2928,Derogongan Residence
550,El Eden,CO,76.64,scattered clouds,4.4667,-75.7667,El Triángulo
552,Saint-Pierre,RE,69.48,broken clouds,-21.3393,55.4781,Alize Plage
555,Muisne,EC,75.69,overcast clouds,0.6,-80.0333,Quinta Samay
559,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
560,San Quintin,MX,75.72,clear sky,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
561,Shakawe,BW,71.76,clear sky,-18.3667,21.85,Ditlhapi Guest House
562,Ambagarh Chauki,IN,74.05,light rain,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
563,Dayong,CN,79.23,scattered clouds,25.0209,118.2898,Haiyue Express Hotel
565,Trudovoye,RU,65.93,light rain,43.3058,132.0817,"Gostinitsa ""Villa Arte"""
567,Havre,FR,74.34,light rain,49.5833,0.3333,gite bois jourdain
568,Ituango,CO,76.5,scattered clouds,7.1712,-75.764,HOTEL LA CASONA ITUANGO
569,Kupang,ID,76.19,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
572,Altamont,US,72.39,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
575,Storvorde,DK,79.34,overcast clouds,57.0039,10.1013,Sejlflod Hotel
576,Nabire,ID,75.65,light rain,-3.3667,135.4833,Hotel Nusantara I
578,Semirom,IR,70.25,clear sky,31.4167,51.5667,Motel Dena
579,Vao,NC,72.66,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
580,Indianola,US,76.91,broken clouds,41.3581,-93.5574,Quality Inn Indianola
584,Uaua,BR,74.39,overcast clouds,-9.8414,-39.4817,Hotel Uauá
585,Caconda,AO,70.99,clear sky,-13.7333,15.0667,
586,Kibala,TD,74.23,moderate rain,9.1104,18.3463,Prasant Hotels
588,Beian,NO,71.69,clear sky,63.6559,9.5683,"Fjord-Fishing AS, Property & Housing Co."
595,San Ramon,US,78.6,clear sky,37.7799,-121.978,San Ramon Marriott
596,Rio Branco Do Sul,BR,77.22,broken clouds,-25.19,-49.3142,DR Hotel Rio Branco do Sul
597,Saraj,MK,69.35,overcast clouds,42.0,21.3278,Feng Shui Apartments
600,Barinitas,VE,77.97,overcast clouds,8.7622,-70.4111,Rapsodia EcoTours
602,Bourail,NC,68.2,broken clouds,-21.5667,165.4833,Motel Allamanda
603,Jilib,SO,74.62,scattered clouds,0.4883,42.7854,Waadi Hotel
605,Dondo,MZ,76.53,clear sky,-19.6094,34.7431,Pensao Casual
608,Pershotravneve,UA,74.75,overcast clouds,51.3929,28.8684,Kempinh
609,Miri,MY,79.97,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
612,Tabou,CI,75.49,overcast clouds,4.423,-7.3528,hotêl doufoulougou
614,Kilindoni,TZ,76.03,clear sky,-7.9139,39.6668,Bustani B&B
615,Issoire,FR,74.46,scattered clouds,45.55,3.25,ACE Hôtel Issoire
619,Kisangani,CD,73.04,light rain,0.5167,25.2,Grand Ramela Hotel
620,Carrickmacross,IE,69.67,overcast clouds,53.9728,-6.7189,Nuremore Hotel & Country Club
622,Mawlaik,MM,76.69,broken clouds,23.6333,94.4167,AKZ Guest House
626,Bonthe,SL,74.98,moderate rain,7.5264,-12.505,Bonthe Holiday Village
627,Dandong,CN,74.23,overcast clouds,40.1292,124.3947,Yiranju Farmstay
629,Nouadhibou,MR,73.42,clear sky,20.931,-17.0347,El Medina
631,Halifax,CA,75.69,overcast clouds,44.6453,-63.5724,Hotel Halifax
632,Vila,PT,71.71,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
634,Dawei,MM,77.56,broken clouds,14.0833,98.2,Hotel Dawei
636,Grand Gaube,MU,70.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
639,Chalons-En-Champagne,FR,77.07,overcast clouds,48.9539,4.3672,Hotel D'Angleterre
641,Clyde,US,68.59,overcast clouds,41.3042,-82.9752,Red Roof Inn Clyde
642,Bezhanitsy,RU,71.31,scattered clouds,56.9767,29.8907,Kruiz Hotel
643,Gimli,CA,69.4,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
644,Mayumba,GA,72.43,scattered clouds,-3.432,10.6554,LIKWALE LODGE
645,Port Keats,AU,75.67,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
648,Amahai,ID,77.7,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
650,Xai-Xai,MZ,73.02,clear sky,-25.0519,33.6442,Complexo da Familia
651,Robertsport,LR,76.78,light rain,6.7533,-11.3686,Kwepunha Retreat
653,Arkadak,RU,74.41,broken clouds,51.9326,43.4978,Khoper
656,Chapais,CA,70.61,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
664,Yaan,NG,73.24,moderate rain,7.3833,8.5667,
665,Zonguldak,TR,66.43,clear sky,41.25,31.8333,Yazioren Koyu Muhtarligi
666,Ewa Beach,US,79.59,clear sky,21.3156,-158.0072,Base Lodging
671,Esfarayen,IR,75.24,clear sky,37.0765,57.5101,دفتر ازدواج 65 : سردفتر ابراهیم برغمدی
672,Rorvik,NO,71.58,clear sky,64.8621,11.2373,Kysthotellet Rørvik AS
675,Bridlington,GB,76.93,scattered clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
676,High Prairie,CA,68.05,scattered clouds,55.4334,-116.4858,Royal Star Motor Inn
677,Bandarbeyla,SO,76.71,broken clouds,9.4942,50.8122,JABIR HOTEL
678,Port Moresby,PG,75.43,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
681,Kihei,US,78.84,scattered clouds,20.785,-156.4656,Maui Sunset
683,Talant,FR,75.81,clear sky,47.3369,5.0089,Hôtel Restaurant Campanile Dijon Gare
686,Hauterive,FR,75.96,broken clouds,46.0901,3.4459,Aletti Palace Hotel
692,Northam,GB,79.39,overcast clouds,51.0333,-4.2167,Durrant House Hotel
699,Nchelenge,ZM,72.68,clear sky,-9.3451,28.734,KD Travellers Home
702,Grivenskaya,RU,79.66,broken clouds,45.6473,38.176,
705,Malakal,SS,71.58,moderate rain,9.5334,31.6605,Nile Palace Hotel
706,Lyuban,BY,72.64,overcast clouds,52.7985,28.0048,"Gostinitsa ""Oressa"""
707,Yabrud,SY,73.81,clear sky,33.9674,36.6574,صالة افراح الاندلس
710,Aiquile,BO,77.11,scattered clouds,-18.2041,-65.1807,Hotel Santa Ana
711,Metro,ID,75.43,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
