City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Bluff,NZ,2022-08-14 00:41:17,-46.6,168.3333,50.81,71,65,22.68
60,Carnarvon,AU,2022-08-14 00:41:18,-24.8667,113.6333,65.23,67,0,9.69
61,Provideniya,RU,2022-08-14 00:41:18,64.3833,-173.3,44.98,70,97,2.55
62,Salalah,OM,2022-08-14 00:41:19,17.0151,54.0924,73.49,100,100,9.22
63,Bethel,US,2022-08-14 00:41:19,41.3712,-73.414,72.45,70,13,2.46
64,Lompoc,US,2022-08-14 00:41:20,34.6391,-120.4579,86.14,68,0,14.97
65,Buraydah,SA,2022-08-14 00:41:20,26.326,43.975,86.45,20,4,8.77
66,Shelburne,CA,2022-08-14 00:41:21,44.0787,-80.2041,66.99,66,100,6.98
67,Tilichiki,RU,2022-08-14 00:41:21,60.4667,166.1,61.93,73,99,8.14
68,Herat,AF,2022-08-14 00:36:50,34.5,62.0,70.68,26,11,15.84
69,Kantunilkin,MX,2022-08-14 00:41:22,21.0917,-87.45,77.7,87,100,3.78
70,New Norfolk,AU,2022-08-14 00:39:02,-42.7826,147.0587,53.92,87,100,1.99
71,Walvis Bay,NA,2022-08-14 00:41:22,-22.9575,14.5053,53.1,66,7,2.3
72,Hobart,AU,2022-08-14 00:41:23,-42.8794,147.3294,54.27,96,100,13.8
73,Abomsa,ET,2022-08-14 00:41:23,9.9833,39.9833,68.99,76,100,1.79
74,Tuktoyaktuk,CA,2022-08-14 00:37:48,69.4541,-133.0374,55.4,88,75,16.11
75,Rovaniemi,FI,2022-08-14 00:41:24,66.5,25.7167,54.81,94,75,9.22
76,Fortuna,US,2022-08-14 00:41:24,40.5982,-124.1573,71.92,67,0,14.97
77,Williams Lake,CA,2022-08-14 00:40:01,52.1415,-122.1445,73.06,66,75,5.75
78,Humaita,BR,2022-08-14 00:41:25,-7.5061,-63.0208,85.53,41,92,1.03
79,Mangochi,MW,2022-08-14 00:41:26,-14.4782,35.2645,67.12,61,0,1.88
80,Kathmandu,NP,2022-08-14 00:37:09,27.7167,85.3167,70.02,94,75,0.0
81,Tahoua,NE,2022-08-14 00:41:26,14.8888,5.2692,87.62,38,100,10.71
82,Pevek,RU,2022-08-14 00:41:26,69.7008,170.3133,34.29,81,33,9.62
83,Nhlangano,SZ,2022-08-14 00:41:27,-27.1167,31.2,54.16,59,94,4.32
84,Qaanaaq,GL,2022-08-14 00:41:28,77.484,-69.3632,43.97,65,100,10.25
85,Port Blair,IN,2022-08-14 00:38:26,11.6667,92.75,80.64,89,75,3.44
86,Rognan,NO,2022-08-14 00:41:28,67.0953,15.3878,51.76,20,100,3.58
87,Beloha,MG,2022-08-14 00:41:28,-25.1667,45.05,61.68,68,0,5.86
88,Arraial Do Cabo,BR,2022-08-14 00:41:29,-22.9661,-42.0278,69.42,70,0,21.79
89,Totness,SR,2022-08-14 00:42:29,5.8833,-56.3167,80.28,85,22,12.21
90,Ilulissat,GL,2022-08-14 00:42:30,69.2167,-51.1,48.22,53,75,3.44
91,Honiara,SB,2022-08-14 00:42:30,-9.4333,159.95,85.75,66,76,4.9
92,Monticello,US,2022-08-14 00:42:31,45.3055,-93.7941,68.32,53,2,11.43
93,Brewster,US,2022-08-14 00:42:31,41.3973,-73.6171,72.68,66,0,2.8
94,Puerto Ayora,EC,2022-08-14 00:42:31,-0.7393,-90.3518,73.36,93,100,8.99
95,Pontal Do Parana,BR,2022-08-14 00:42:32,-25.6533,-48.5128,61.83,95,100,1.05
96,Iqaluit,CA,2022-08-14 00:40:41,63.7506,-68.5145,44.33,87,75,5.75
97,Longyearbyen,SJ,2022-08-14 00:42:33,78.2186,15.6401,42.64,81,75,9.22
98,Bambous Virieux,MU,2022-08-14 00:42:33,-20.3428,57.7575,69.22,77,75,13.8
99,Kishtwar,IN,2022-08-14 00:42:33,33.3167,75.7667,68.36,85,36,1.86
100,Tutoia,BR,2022-08-14 00:42:34,-2.7619,-42.2744,78.67,79,14,12.24
101,Torbay,CA,2022-08-14 00:42:34,47.6666,-52.7314,60.89,96,100,8.05
